id,name,minplayers,maxplayers,minplaytime,maxplaytime,minage,bayesaverage,complexity,yearpublished
13,Catan,3.0,4.0,60.0,120.0,10.0,6.90249,2.2816,1995
822,Carcassonne,2.0,5.0,30.0,45.0,7.0,7.29878,1.8846,2000
30549,Pandemic,2.0,4.0,45.0,45.0,8.0,7.40339,2.3939,2008
167791,Terraforming Mars,1.0,5.0,120.0,120.0,12.0,8.18309,3.2728,2016
266192,Wingspan,1.0,5.0,40.0,70.0,10.0,7.84451,2.481,2019
68448,7 Wonders,2.0,7.0,30.0,30.0,10.0,7.54785,2.3142,2010
173346,7 Wonders Duel,2.0,2.0,30.0,30.0,10.0,7.95111,2.2272,2015
230802,Azul,2.0,4.0,30.0,45.0,8.0,7.60511,1.7719,2017
178900,Codenames,2.0,8.0,15.0,15.0,10.0,7.42796,1.2544,2015
9209,Ticket to Ride,2.0,5.0,30.0,60.0,8.0,7.26126,1.8191,2004
36218,Dominion,2.0,4.0,30.0,30.0,13.0,7.47376,2.3443,2008
169786,Scythe,1.0,5.0,115.0,115.0,14.0,7.9433,3.452,2016
148228,Splendor,2.0,4.0,30.0,30.0,10.0,7.29265,1.774,2014
14996,Ticket to Ride: Europe,2.0,5.0,30.0,60.0,8.0,7.3943,1.9149,2005
31260,Agricola,1.0,5.0,30.0,150.0,12.0,7.72382,3.6353,2007
70323,King of Tokyo,2.0,6.0,30.0,30.0,8.0,7.00776,1.484,2011
40692,Small World,2.0,5.0,40.0,80.0,8.0,7.08432,2.3465,2009
3076,Puerto Rico,3.0,5.0,90.0,150.0,12.0,7.75232,3.2665,2002
163412,Patchwork,2.0,2.0,15.0,30.0,8.0,7.47166,1.5966,2014
129622,Love Letter,2.0,4.0,20.0,20.0,10.0,7.12206,1.1846,2012
39856,Dixit,3.0,6.0,30.0,30.0,8.0,7.06467,1.1919,2008
84876,The Castles of Burgundy,2.0,4.0,30.0,90.0,12.0,8.03267,2.9703,2011
2651,Power Grid,2.0,6.0,120.0,120.0,12.0,7.68213,3.2459,2004
199792,Everdell,1.0,4.0,40.0,80.0,10.0,7.80474,2.835,2018
174430,Gloomhaven,1.0,4.0,60.0,120.0,14.0,8.29488,3.919,2017
237182,Root,2.0,4.0,60.0,90.0,14.0,7.88152,3.8391,2018
162886,Spirit Island,1.0,4.0,90.0,120.0,13.0,8.14156,4.0738,2017
342942,Ark Nova,1.0,4.0,90.0,150.0,14.0,8.35328,3.7971,2021
244521,Quacks,2.0,4.0,45.0,45.0,10.0,7.66709,1.9417,2018
110327,Lords of Waterdeep,2.0,5.0,60.0,120.0,12.0,7.58079,2.4481,2012
28143,Race for the Galaxy,2.0,4.0,30.0,60.0,12.0,7.61614,2.9938,2007
224517,Brass: Birmingham,2.0,4.0,60.0,120.0,14.0,8.39303,3.861,2018
316554,Dune: Imperium,1.0,4.0,60.0,120.0,14.0,8.22125,3.0778,2020
54043,Jaipur,2.0,2.0,30.0,30.0,10.0,7.3613,1.4628,2009
161936,Pandemic Legacy: Season 1,2.0,4.0,60.0,60.0,13.0,8.34473,2.828,2015
312484,Lost Ruins of Arnak,1.0,4.0,30.0,120.0,12.0,7.91627,2.9324,2020
478,Citadels,2.0,8.0,20.0,60.0,10.0,6.92915,2.0466,2000
34635,Stone Age,2.0,4.0,60.0,90.0,10.0,7.37948,2.4558,2008
295947,Cascadia,1.0,4.0,30.0,45.0,10.0,7.7339,1.8417,2021
183394,Viticulture Essential Edition,1.0,6.0,45.0,90.0,13.0,7.80461,2.9028,2015
65244,Forbidden Island,2.0,4.0,30.0,30.0,10.0,6.63991,1.7399,2010
1927,Munchkin,3.0,6.0,60.0,120.0,10.0,5.69275,1.818,2001
