id,name,minplayers,maxplayers,minplaytime,maxplaytime,minage,usersrated,average,bayesaverage,complexity,yearpublished
13,Catan,3,4,60,120,10,142781,7.0904,6.90249,2.2816,1995
822,Carcassonne,2,5,30,45,7,140178,7.4166,7.29878,1.8846,2000
30549,Pandemic,2,4,45,45,8,135383,7.51287,7.40339,2.3939,2008
167791,Terraforming Mars,1,5,120,120,12,113682,8.33408,8.18309,3.2728,2016
266192,Wingspan,1,5,40,70,10,113544,7.99763,7.84451,2.481,2019
68448,7 Wonders,2,7,30,30,10,112943,7.66168,7.54785,2.3142,2010
173346,7 Wonders Duel,2,2,30,30,10,109249,8.07594,7.95111,2.2272,2015
230802,Azul,2,4,30,45,8,108970,7.71405,7.60511,1.7719,2017
178900,Codenames,2,8,15,15,10,104394,7.52437,7.42796,1.2544,2015
9209,Ticket to Ride,2,5,30,60,8,98634,7.38553,7.26126,1.8191,2004
36218,Dominion,2,4,30,30,13,96836,7.59738,7.47376,2.3443,2008
169786,Scythe,1,5,115,115,14,93650,8.09906,7.9433,3.452,2016
148228,Splendor,2,4,30,30,10,90534,7.42076,7.29265,1.774,2014
14996,Ticket to Ride: Europe,2,5,30,60,8,85736,7.52308,7.3943,1.9149,2005
31260,Agricola,1,5,30,150,12,76863,7.85706,7.72382,3.6353,2007
70323,King of Tokyo,2,6,30,30,8,76082,7.1129,7.00776,1.484,2011
40692,Small World,2,5,40,80,8,75110,7.19112,7.08432,2.3465,2009
3076,Puerto Rico,3,5,90,150,12,74391,7.89853,7.75232,3.2665,2002
163412,Patchwork,2,2,15,30,8,74299,7.57836,7.47166,1.5966,2014
129622,Love Letter,2,4,20,20,10,71982,7.22624,7.12206,1.1846,2012
39856,Dixit,3,6,30,30,8,71491,7.18045,7.06467,1.1919,2008
84876,The Castles of Burgundy,2,4,30,90,12,69832,8.16215,8.03267,2.9703,2011
2651,Power Grid,2,6,120,120,12,69703,7.79902,7.68213,3.2459,2004
199792,Everdell,1,4,40,80,10,68831,7.97886,7.80474,2.835,2018
174430,Gloomhaven,1,4,60,120,14,67306,8.53686,8.29488,3.919,2017
237182,Root,2,4,60,90,14,64738,8.07143,7.88152,3.8391,2018
162886,Spirit Island,1,4,90,120,13,63476,8.34028,8.14156,4.0738,2017
342942,Ark Nova,1,4,90,150,14,61568,8.53927,8.35328,3.7971,2021
244521,Quacks,2,4,45,45,10,59377,7.80351,7.66709,1.9417,2018
110327,Lords of Waterdeep,2,5,60,120,12,59237,7.72914,7.58079,2.4481,2012
28143,Race for the Galaxy,2,4,30,60,12,59065,7.73637,7.61614,2.9938,2007
224517,Brass: Birmingham,2,4,60,120,14,58952,8.56264,8.39303,3.861,2018
316554,Dune: Imperium,1,4,60,120,14,58742,8.41004,8.22125,3.0778,2020
54043,Jaipur,2,2,30,30,10,58381,7.47899,7.3613,1.4628,2009
161936,Pandemic Legacy: Season 1,2,4,60,60,13,57505,8.5011,8.34473,2.828,2015
312484,Lost Ruins of Arnak,1,4,30,120,12,57462,8.08271,7.91627,2.9324,2020
478,Citadels,2,8,20,60,10,57270,7.05325,6.92915,2.0466,2000
34635,Stone Age,2,4,60,90,10,55958,7.5099,7.37948,2.4558,2008
295947,Cascadia,1,4,30,45,10,55682,7.88772,7.7339,1.8417,2021
183394,Viticulture Essential Edition,1,6,45,90,13,55406,7.95675,7.80461,2.9028,2015
65244,Forbidden Island,2,4,30,30,10,54561,6.74917,6.63991,1.7399,2010
1927,Munchkin,3,6,60,120,10,53447,5.87415,5.69275,1.818,2001
